albumentations-team+albumentations,0.5.1,760,Method,Top@1,Top@5,MRR
apache+incubator-mxnet,0.12.0,8524,bjXnet,0.2428571428571428,0.3428571428571428,0.2428571428571428
apache+incubator-mxnet,0.12.0,8524,bjXnet,0.2666666666666666,0.3666666666666666,0.2666666666666666
apache+incubator-mxnet,1.0.0,9034,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.0.0,9034,bjXnet,0.43333333333333335,0.5333333333333333,0.43333333333333335
apache+incubator-mxnet,1.0.0,9050,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.0.0,9050,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.0.0,9062,bjXnet,0.1066666666666666,0.2066666666666666,0.1066666666666666
apache+incubator-mxnet,1.0.0,9062,bjXnet,0.10671140939597311,0.2067114093959731,0.10671140939597311
apache+incubator-mxnet,1.0.0,9216,bjXnet,0.1625,0.2625,0.1452777777777777
apache+incubator-mxnet,1.0.0,9216,bjXnet,0.6,0.7,0.36363636363636365
apache+incubator-mxnet,1.0.0,9363,bjXnet,1.0,1.0,0.9333333333333332
apache+incubator-mxnet,1.0.0,9363,bjXnet,1.0,1.0,0.85
apache+incubator-mxnet,1.0.0,9405,bjXnet,1.0,1.0,0.6084745762711864
apache+incubator-mxnet,1.0.0,9405,bjXnet,0.35,0.45,0.262037037037037
apache+incubator-mxnet,1.0.0,9605,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.0.0,9605,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.0.0,9624,bjXnet,0.1416666666666666,0.2416666666666666,0.1452235772357723
apache+incubator-mxnet,1.0.0,9624,bjXnet,0.43333333333333335,0.5333333333333333,0.35757575757575755
apache+incubator-mxnet,1.0.0,9648,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.0.0,9648,bjXnet,0.1019841269841269,0.2019841269841269,0.1019841269841269
apache+incubator-mxnet,1.0.0,9733,bjXnet,0.10980392156862741,0.2098039215686274,0.10980392156862741
apache+incubator-mxnet,1.0.0,9733,bjXnet,0.225,0.325,0.225
apache+incubator-mxnet,1.0.0,9743,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.0.0,9743,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.1.0,10011,bjXnet,0.2666666666666666,0.3666666666666666,0.13778372272681372
apache+incubator-mxnet,1.1.0,10011,bjXnet,0.1208333333333333,0.22083333333333333,0.11988968885390891
apache+incubator-mxnet,1.1.0,10026,bjXnet,0.2428571428571428,0.3428571428571428,0.2428571428571428
apache+incubator-mxnet,1.1.0,10026,bjXnet,0.2,0.30000000000000004,0.2
apache+incubator-mxnet,1.1.0,10146,bjXnet,1.0,1.0,0.7999999999999999
apache+incubator-mxnet,1.1.0,10146,bjXnet,0.35,0.45,0.36785714285714277
apache+incubator-mxnet,1.1.0,10224,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.1.0,10224,bjXnet,0.108695652173913,0.208695652173913,0.108695652173913
apache+incubator-mxnet,1.1.0,10431,bjXnet,0.2666666666666666,0.3666666666666666,0.2666666666666666
apache+incubator-mxnet,1.1.0,10431,bjXnet,0.43333333333333335,0.5333333333333333,0.43333333333333335
apache+incubator-mxnet,1.1.0,10520,bjXnet,0.12380952380952381,0.22380952380952382,0.12380952380952381
apache+incubator-mxnet,1.1.0,10520,bjXnet,0.101841620626151,0.20184162062615102,0.101841620626151
apache+incubator-mxnet,1.1.0,10738,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.1.0,10738,bjXnet,0.11428571428571421,0.21428571428571422,0.11428571428571421
apache+incubator-mxnet,1.1.0,10858,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.1.0,10858,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.1.0,10868,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.1.0,10868,bjXnet,0.43333333333333335,0.5333333333333333,0.43333333333333335
apache+incubator-mxnet,1.1.0,9772,bjXnet,0.13125,0.23125,0.1248822230041441
apache+incubator-mxnet,1.1.0,9772,bjXnet,0.2,0.30000000000000004,0.2112554112554112
apache+incubator-mxnet,1.1.0,9842,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.1.0,9842,bjXnet,0.2666666666666666,0.3666666666666666,0.2666666666666666
apache+incubator-mxnet,1.1.0,9890,bjXnet,0.2,0.30000000000000004,0.17941176470588233
apache+incubator-mxnet,1.1.0,9890,bjXnet,0.1020746887966804,0.20207468879668042,0.1028789650244912
apache+incubator-mxnet,1.1.0,9920,bjXnet,0.1833333333333333,0.2833333333333333,0.13846248291386182
apache+incubator-mxnet,1.1.0,9920,bjXnet,1.0,1.0,0.4507235484523243
apache+incubator-mxnet,1.1.0,9976,bjXnet,0.1588235294117647,0.25882352941176473,0.1588235294117647
apache+incubator-mxnet,1.1.0,9976,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.2.0,11057,bjXnet,0.2428571428571428,0.3428571428571428,0.2428571428571428
apache+incubator-mxnet,1.2.0,11057,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.2.0,11077,bjXnet,0.1555555555555555,0.25555555555555554,0.1555555555555555
apache+incubator-mxnet,1.2.0,11077,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.2.0,11084,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.2.0,11084,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.2.0,11115,bjXnet,0.10653594771241831,0.20653594771241832,0.10653594771241831
apache+incubator-mxnet,1.2.0,11115,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.2.0,11160,bjXnet,0.1033670033670033,0.2033670033670033,0.1033670033670033
apache+incubator-mxnet,1.2.0,11160,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.2.0,11241,bjXnet,0.2666666666666666,0.3666666666666666,0.2666666666666666
apache+incubator-mxnet,1.2.0,11241,bjXnet,0.2666666666666666,0.3666666666666666,0.2666666666666666
apache+incubator-mxnet,1.2.0,11331,bjXnet,0.43333333333333335,0.5333333333333333,0.2214335208282383
apache+incubator-mxnet,1.2.0,11331,bjXnet,0.35,0.45,0.2815039798910766
apache+incubator-mxnet,1.2.0,11339,bjXnet,0.1714285714285714,0.2714285714285714,0.14035154869384542
apache+incubator-mxnet,1.2.0,11339,bjXnet,1.0,1.0,0.48268041437295506
apache+incubator-mxnet,1.2.0,11352,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.2.0,11352,bjXnet,0.15000000000000002,0.25,0.15000000000000002
apache+incubator-mxnet,1.2.0,11411,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.2.0,11411,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.2.0,11430,bjXnet,0.12272727272727271,0.22272727272727272,0.1215677179962894
apache+incubator-mxnet,1.2.0,11430,bjXnet,0.10497512437810941,0.2049751243781094,0.10647162593407461
apache+incubator-mxnet,1.2.0,11504,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.2.0,11504,bjXnet,1.0,1.0,0.6769230769230768
apache+incubator-mxnet,1.2.0,11599,bjXnet,0.30000000000000004,0.4,0.30000000000000004
apache+incubator-mxnet,1.2.0,11599,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.2.1,11639,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.2.1,11639,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.2.1,11841,bjXnet,0.6,0.7,0.5444444444444444
apache+incubator-mxnet,1.2.1,11841,bjXnet,1.0,1.0,0.4360451259235719
apache+incubator-mxnet,1.2.1,11849,bjXnet,1.0,1.0,0.6788113695090439
apache+incubator-mxnet,1.2.1,11849,bjXnet,0.43333333333333335,0.5333333333333333,0.44920634920634905
apache+incubator-mxnet,1.2.1,12024,bjXnet,0.225,0.325,0.14691836650467902
apache+incubator-mxnet,1.2.1,12024,bjXnet,0.109009009009009,0.209009009009009,0.10835515738192131
apache+incubator-mxnet,1.2.1,12046,bjXnet,0.1135135135135135,0.2135135135135135,0.1135135135135135
apache+incubator-mxnet,1.2.1,12046,bjXnet,0.10213675213675211,0.2021367521367521,0.10213675213675211
apache+incubator-mxnet,1.2.1,12061,bjXnet,0.43333333333333335,0.5333333333333333,0.43333333333333335
apache+incubator-mxnet,1.2.1,12061,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.2.1,12087,bjXnet,0.6,0.7,0.6833333333333332
apache+incubator-mxnet,1.2.1,12087,bjXnet,0.1526315789473684,0.25263157894736843,0.1566188197767145
apache+incubator-mxnet,1.2.1,12179,bjXnet,0.43333333333333335,0.5333333333333333,0.43333333333333335
apache+incubator-mxnet,1.2.1,12179,bjXnet,0.10194552529182871,0.20194552529182871,0.10194552529182871
apache+incubator-mxnet,1.2.1,12404,bjXnet,0.35,0.45,0.2307471264367816
apache+incubator-mxnet,1.2.1,12404,bjXnet,0.2111111111111111,0.3111111111111111,0.1609031491384432
apache+incubator-mxnet,1.3.0,12473,bjXnet,1.0,1.0,1.0
apache+incubator-mxnet,1.3.0,12473,bjXnet,0.10180505415162451,0.2018050541516245,0.10180505415162451
apache+incubator-mxnet,1.3.0,12662,bjXnet,0.1080645161290322,0.2080645161290322,0.10932326335552141
