Project,Bug_ID,MRR,MAP
py-pdf+pypdf,1585,0.85958042,0.627157795
py-pdf+pypdf,1737,0.935801041,0.635666532
pydata+numexpr,124,0.295238095,0.295238095
pyinstaller+pyinstaller,7277,0.084443756,0.084443756
pyinstaller+pyinstaller,7413,0.714847039,0.714847039
pyinstaller+pyinstaller,7456,0.061921168,0.036775267
pypa+pipenv,228,0.967032967,0.71978022
pypa+pipenv,965,0.934649421,0.934649421
pypa+pipenv,1618,0.934360283,0.771407954
pypa+pipenv,1690,0.795998644,0.632300622
pypa+pipenv,2088,0.531750503,0.298410857
pypa+pipenv,2173,0.238948117,0.238948117
pypa+pipenv,2613,0.239234593,0.239234593
pypa+pipenv,2748,0.103180171,0.111964821
pypa+pipenv,3151,0.1794093,0.1794093
pypa+pipenv,3407,0.934184308,0.934184308
pypa+pipenv,4059,0.862551318,0.862551318
pypa+pipenv,5092,0.121576064,0.121576064
pypa+pipenv,5132,0.684905251,0.245238754
pypa+pipenv,5254,0.714798666,0.714798666
pypa+pipenv,5261,0.042622134,0.042622134
pypa+pipenv,5296,0.038199312,0.04801244
pypa+pipenv,5353,0.011117322,0.011117322
pypa+pipenv,5530,0.11964162,0.107952809
pypa+pipenv,5583,0.05162702,0.05162702
scikit-learn+scikit-learn,25627,0.744900474,0.468070396
scikit-learn+scikit-learn,25798,0.93414278,0.879235881
scrapy+scrapy,780,0.083136045,0.056274285
scrapy+scrapy,838,0.044377013,0.044377013
scrapy+scrapy,1495,0.717018996,0.71761928
scrapy+scrapy,2011,0.936126374,0.490735581
scrapy+scrapy,2125,0.583696857,0.583696857
scrapy+scrapy,2157,0.718894009,0.616315283
scrapy+scrapy,2373,0.937944409,0.500155573
scrapy+scrapy,2862,0.716312057,0.716312057
scrapy+scrapy,3171,0.678426149,0.678426149
scrapy+scrapy,3953,0.942002442,0.711004171
scrapy+scrapy,3976,0.716283716,0.597218932
scrapy+scrapy,4014,0.018945212,0.018945212
scrapy+scrapy,5515,0.043075008,0.043075008
sphinx-doc+sphinx,10903,0.316348142,0.347058676
sphinx-doc+sphinx,11079,0.934879935,0.934637359
sphinx-doc+sphinx,11101,0.405455135,0.405455135
sphinx-doc+sphinx,11264,0.802105332,0.762295317
wtforms+flask-wtf,278,0.083333333,0.083333333
