Project,Version,Bug_ID,Method,GTF,Top_Rank,MRR,MAP
encode+django-rest-framework,3.7.3,5582,bluir,2,7,0.142857143,0.084415584
encode+django-rest-framework,3.7.3,5594,buglocator,2,3,0.333333333,0.30952381
encode+django-rest-framework,3.7.3,5594,bluir,2,6,0.166666667,0.194444444
encode+django-rest-framework,3.7.3,5675,buglocator,3,6,0.166666667,0.13065437
encode+django-rest-framework,3.7.3,5675,bluir,3,2,0.5,0.353741497
encode+django-rest-framework,3.7.7,5873,buglocator,2,22,0.045454545,0.066205534
encode+django-rest-framework,3.7.7,5873,bluir,2,14,0.071428571,0.088345865
encode+django-rest-framework,3.8.2,6088,buglocator,2,1,1,0.833333333
encode+django-rest-framework,3.8.2,6088,bluir,2,1,1,0.625
encode+django-rest-framework,3.8.2,6094,buglocator,2,2,0.5,0.5
encode+django-rest-framework,3.8.2,6094,bluir,2,4,0.25,0.291666667
encode+django-rest-framework,3.9.0,6280,buglocator,4,1,1,0.715277778
encode+django-rest-framework,3.9.0,6280,bluir,4,1,1,0.805555556
encode+django-rest-framework,3.9.0,6317,buglocator,1,1,1,1
encode+django-rest-framework,3.9.0,6317,bluir,1,1,1,1
encode+django-rest-framework,3.9.0,6324,buglocator,2,1,1,1
encode+django-rest-framework,3.9.0,6324,bluir,2,2,0.5,0.583333333
encode+django-rest-framework,3.9.2,6504,buglocator,2,8,0.125,0.1625
encode+django-rest-framework,3.9.2,6504,bluir,2,4,0.25,0.325
flask-restful+flask-restful,0.3.1,396,buglocator,2,2,0.5,0.583333333
flask-restful+flask-restful,0.3.1,396,bluir,2,1,1,1
flask-restful+flask-restful,0.3.4,526,buglocator,1,8,0.125,0.125
flask-restful+flask-restful,0.3.4,526,bluir,1,3,0.333333333,0.333333333
flask-restful+flask-restful,0.3.4,534,buglocator,2,2,0.5,0.361111111
flask-restful+flask-restful,0.3.4,534,bluir,2,2,0.5,0.583333333
flask-restful+flask-restful,0.3.5,673,buglocator,1,11,0.090909091,0.090909091
flask-restful+flask-restful,0.3.5,673,bluir,1,2,0.5,0.5
flask-restful+flask-restful,0.3.6,702,buglocator,2,1,1,0.833333333
flask-restful+flask-restful,0.3.6,702,bluir,2,1,1,1
flask-restful+flask-restful,0.3.7,791,buglocator,2,1,1,1
flask-restful+flask-restful,0.3.7,791,bluir,2,1,1,1
h5py+h5py,3.0.0,1732,buglocator,1,1,1,1
h5py+h5py,3.0.0,1732,bluir,1,9,0.111111111,0.111111111
h5py+h5py,3.1.0,1797,buglocator,2,2,0.5,0.45
h5py+h5py,3.1.0,1797,bluir,2,1,1,0.75
ipython+ipython,7.24.1,13020,buglocator,1,2,0.5,0.5
ipython+ipython,7.24.1,13020,bluir,1,1,1,1
ipython+ipython,7.27.0,13124,buglocator,1,1,1,1
ipython+ipython,7.27.0,13124,bluir,1,1,1,1
ipython+ipython,8.1.1,13602,buglocator,4,1,1,0.840909091
ipython+ipython,8.1.1,13602,bluir,4,2,0.5,0.294003868
ipython+ipython,8.8.0,13896,buglocator,1,1,1,1
ipython+ipython,8.8.0,13896,bluir,1,236,0.004237288,0.004237288
lordmauve+pgzero,1.1,46,buglocator,1,5,0.2,0.2
lordmauve+pgzero,1.1,46,bluir,1,34,0.029411765,0.029411765
lordmauve+pgzero,1.1,52,buglocator,1,8,0.125,0.125
lordmauve+pgzero,1.1,52,bluir,1,2,0.5,0.5
lordmauve+pgzero,1.1,54,buglocator,1,10,0.1,0.1
lordmauve+pgzero,1.1,54,bluir,1,10,0.1,0.1
lordmauve+pgzero,1.2.post5,227,buglocator,1,1,1,1
lordmauve+pgzero,1.2.post5,227,bluir,1,1,1,1
matplotlib+matplotlib,v3.5.2,23324,buglocator,2,2,0.5,0.416666667
matplotlib+matplotlib,v3.5.2,23324,bluir,2,2,0.5,0.260204082
matplotlib+matplotlib,v3.6.0,23986,buglocator,2,3,0.333333333,0.366666667
matplotlib+matplotlib,v3.6.0,23986,bluir,2,2,0.5,0.583333333
matplotlib+matplotlib,v3.6.0rc1,23687,buglocator,6,4,0.25,0.155790154
matplotlib+matplotlib,v3.6.0rc1,23687,bluir,6,1,1,0.422274336
matplotlib+matplotlib,v3.6.1,24199,buglocator,2,6,0.166666667,0.105072464
matplotlib+matplotlib,v3.6.1,24199,bluir,2,14,0.071428571,0.069047619
matplotlib+matplotlib,v3.7.0rc1,25124,buglocator,2,141,0.007092199,0.004984948
matplotlib+matplotlib,v3.7.0rc1,25124,bluir,2,31,0.032258065,0.044700461
matplotlib+matplotlib,v3.7.0rc1,25199,buglocator,1,5,0.2,0.2
matplotlib+matplotlib,v3.7.0rc1,25199,bluir,1,1,1,1
matplotlib+matplotlib,v3.7.1,25485,buglocator,1,37,0.027027027,0.027027027
matplotlib+matplotlib,v3.7.1,25485,bluir,1,2,0.5,0.5
miguelgrinberg+flask-socketio,v4.2.1,1054,buglocator,1,1,1,1
miguelgrinberg+flask-socketio,v4.2.1,1054,bluir,1,1,1,1
miguelgrinberg+flask-socketio,v4.2.1,1147,buglocator,1,1,1,1
miguelgrinberg+flask-socketio,v4.2.1,1147,bluir,1,1,1,1
miguelgrinberg+flask-socketio,v4.2.1,1155,buglocator,1,1,1,1
miguelgrinberg+flask-socketio,v4.2.1,1155,bluir,1,1,1,1
miguelgrinberg+flask-socketio,v4.3.1,1324,buglocator,1,1,1,1
miguelgrinberg+flask-socketio,v4.3.1,1324,bluir,1,1,1,1
miguelgrinberg+flask-socketio,v5.0.3,1555,buglocator,3,2,0.5,0.588888889
miguelgrinberg+flask-socketio,v5.0.3,1555,bluir,3,1,1,1
miguelgrinberg+flask-socketio,v5.1.1,1771,buglocator,1,1,1,1
miguelgrinberg+flask-socketio,v5.1.1,1771,bluir,1,1,1,1
miguelgrinberg+flask-socketio,v5.2.0,1856,buglocator,2,1,1,0.75
miguelgrinberg+flask-socketio,v5.2.0,1856,bluir,2,1,1,1
miguelgrinberg+flask-socketio,v5.3.1,1909,buglocator,1,1,1,1
miguelgrinberg+flask-socketio,v5.3.1,1909,bluir,1,1,1,1
mitmproxy+mitmproxy,9.0.0,5699,buglocator,1,8,0.125,0.125
mitmproxy+mitmproxy,9.0.0,5699,bluir,1,323,0.003095975,0.003095975
mitmproxy+mitmproxy,9.0.1,5715,buglocator,1,1,1,1
mitmproxy+mitmproxy,9.0.1,5715,bluir,1,237,0.004219409,0.004219409
mitmproxy+mitmproxy,9.0.1,5926,buglocator,12,2,0.5,0.281347208
mitmproxy+mitmproxy,9.0.1,5926,bluir,12,3,0.333333333,0.181705881
mitmproxy+mitmproxy,9.0.1,6029,buglocator,1,1,1,1
mitmproxy+mitmproxy,9.0.1,6029,bluir,1,1,1,1
mitmproxy+mitmproxy,v0.17.1,1111,buglocator,7,1,1,0.511040422
mitmproxy+mitmproxy,v0.17.1,1111,bluir,7,1,1,0.417132014
mitmproxy+mitmproxy,v0.17.1,1118,buglocator,7,1,1,0.389706796
mitmproxy+mitmproxy,v0.17.1,1118,bluir,7,7,0.142857143,0.122083489
mitmproxy+mitmproxy,v1.0.2,1910,buglocator,1,2,0.5,0.5
mitmproxy+mitmproxy,v1.0.2,1910,bluir,1,3,0.333333333,0.333333333
mitmproxy+mitmproxy,v1.0.2,2036,buglocator,2,4,0.25,0.325
mitmproxy+mitmproxy,v1.0.2,2036,bluir,2,2,0.5,0.416666667
mitmproxy+mitmproxy,v2.0.0,2113,buglocator,7,57,0.01754386,0.023415578
mitmproxy+mitmproxy,v2.0.0,2113,bluir,7,65,0.015384615,0.029296036
mitmproxy+mitmproxy,v2.0.1,2266,buglocator,7,1,1,0.213853653
